company_name,industry,job_title,skills_required,experience_level,employment_type,location,posted_date,company_size,tools_preferred,salary_min,salary_max
Foster and Sons,Healthcare,Data Analyst,"NumPy, Reinforcement Learning, PyTorch, Scikit-learn, GCP, FastAPI",Mid,Full-time,"Tracybury, AR",2025-08-20,Large,"KDB+, LangChain",92860,109598
"Boyd, Myers and Ramirez",Tech,Computer Vision Engineer,"Scikit-learn, CUDA, SQL, Pandas",Senior,Full-time,"Lake Scott, CU",2024-03-22,Large,"FastAPI, KDB+, TensorFlow",78523,144875
King Inc,Tech,Quant Researcher,"MLflow, FastAPI, Azure, PyTorch, SQL, GCP",Entry,Internship,"East Paige, CM",2025-09-18,Large,"BigQuery, PyTorch, Scikit-learn",124496,217204
"Cooper, Archer and Lynch",Tech,AI Product Manager,"Scikit-learn, C++, Pandas, LangChain, AWS, R",Mid,Internship,"Perezview, FI",2024-05-08,Large,"TensorFlow, BigQuery, MLflow",50908,123743
Hall LLC,Finance,Data Scientist,"Excel, Keras, SQL, Hugging Face",Senior,Contract,"North Desireeland, NE",2025-02-24,Large,"PyTorch, LangChain",98694,135413
Ellis PLC,E-commerce,AI Product Manager,"GCP, Excel, Scikit-learn, MLflow",Senior,Internship,"South Kevin, TZ",2025-08-07,Large,"PyTorch, TensorFlow, FastAPI",92632,180718
Matthews-Moses,Automotive,Data Analyst,"Python, Flask, Scikit-learn, GCP",Mid,Full-time,"West Shawn, LR",2024-12-23,Large,"PyTorch, MLflow",95581.5,151635
Mullins Ltd,Education,Data Scientist,"Excel, SQL, Flask",Entry,Internship,"Port Hailey, RU",2024-08-14,Large,BigQuery,63032,82144
Aguilar PLC,Healthcare,ML Engineer,"Pandas, LangChain, GCP, Azure",Entry,Internship,"Butlermouth, GB",2025-09-15,Large,"Scikit-learn, LangChain, BigQuery",134239,188504
Parks LLC,Automotive,Computer Vision Engineer,"Excel, Reinforcement Learning, TensorFlow",Senior,Full-time,"Nicoleshire, BA",2025-08-07,Large,"MLflow, TensorFlow",79361,165029
Vaughan-Ortiz,Tech,Data Scientist,"Keras, MLflow, Reinforcement Learning",Entry,Internship,"New Angelatown, LU",2024-01-10,Large,"LangChain, BigQuery, Scikit-learn",99964,125971
"Johnson, Guzman and Hernandez",Finance,ML Engineer,"Excel, Reinforcement Learning, Keras, Scikit-learn",Entry,Full-time,"Joychester, LT",2024-03-15,Large,"TensorFlow, PyTorch, BigQuery",63583,132670
